anomaly_id,anomaly_type,machine_id,operator_id,site_id,start,end,labelled_minutes,severity,description
A0001,harsh_operation,EXC002,OP1002,S01,2025-05-01T11:09:00Z,2025-05-01T11:29:00Z,13,medium,Abrupt control inputs; hydraulic pressure spikes
A0002,unbelted_operation,WL001,OP1007,S01,2025-05-01T15:32:00Z,2025-05-01T16:02:00Z,30,high,Machine operated with seatbelt unfastened
A0003,unbelted_operation,WL001,OP1007,S01,2025-05-01T14:43:00Z,2025-05-01T15:33:00Z,50,high,Machine operated with seatbelt unfastened
A0004,excessive_idling,BH001,OP1011,S01,2025-05-01T10:26:00Z,2025-05-01T11:18:00Z,52,low,Continuous idle block beyond 25 min
A0005,overheating,BH001,OP1011,S01,2025-05-01T14:48:00Z,2025-05-01T15:34:00Z,46,high,Coolant temperature above safe band on hot day
A0006,unattended_running,EXC005,OP1005,S01,2025-05-02T09:03:00Z,2025-05-02T09:43:00Z,40,high,Engine running at idle with operator out of seat
A0007,unattended_running,EXC006,OP1015,S03,2025-05-02T09:58:00Z,2025-05-02T10:26:00Z,28,high,Engine running at idle with operator out of seat
A0009,unbelted_operation,WL001,OP1007,S01,2025-05-02T15:47:00Z,2025-05-02T16:12:00Z,25,high,Machine operated with seatbelt unfastened
A0010,excessive_idling,DZ001,OP1009,S02,2025-05-02T09:38:00Z,2025-05-02T10:10:00Z,32,low,Continuous idle block beyond 25 min
A0011,harsh_operation,DZ002,OP1010,S03,2025-05-02T11:17:00Z,2025-05-02T11:50:00Z,33,medium,Abrupt control inputs; hydraulic pressure spikes
A0012,excessive_idling,BH001,OP1011,S01,2025-05-02T14:06:00Z,2025-05-02T14:58:00Z,52,low,Continuous idle block beyond 25 min
A0013,harsh_operation,EXC004,OP1004,S02,2025-05-03T09:35:00Z,2025-05-03T09:58:00Z,23,medium,Abrupt control inputs; hydraulic pressure spikes
A0014,overspeed_travel,EXC005,OP1005,S01,2025-05-03T10:23:00Z,2025-05-03T10:24:00Z,1,medium,Travel speed above 10 km/h site limit
A0015,unbelted_operation,WL001,OP1007,S01,2025-05-03T15:51:00Z,2025-05-03T16:12:00Z,21,high,Machine operated with seatbelt unfastened
A0018,excessive_idling,BH002,OP1012,S02,2025-05-03T13:25:00Z,2025-05-03T13:53:00Z,28,low,Continuous idle block beyond 25 min
A0020,harsh_operation,EXC004,OP1004,S02,2025-05-05T11:14:00Z,2025-05-05T11:45:00Z,27,medium,Abrupt control inputs; hydraulic pressure spikes
A0021,unattended_running,WL001,OP1007,S01,2025-05-05T13:54:00Z,2025-05-05T14:17:00Z,23,high,Engine running at idle with operator out of seat
A0022,unbelted_operation,WL001,OP1007,S01,2025-05-05T08:47:00Z,2025-05-05T09:19:00Z,32,high,Machine operated with seatbelt unfastened
A0023,unattended_running,WL002,OP1008,S03,2025-05-05T14:00:00Z,2025-05-05T14:16:00Z,16,high,Engine running at idle with operator out of seat
A0024,excessive_idling,BH001,OP1011,S01,2025-05-05T13:53:00Z,2025-05-05T14:30:00Z,37,low,Continuous idle block beyond 25 min
A0026,overheating,EXC001,OP1001,S01,2025-05-06T15:04:00Z,2025-05-06T16:01:00Z,57,high,Coolant temperature above safe band on hot day
A0027,excessive_idling,EXC003,OP1003,S02,2025-05-06T10:28:00Z,2025-05-06T10:54:00Z,26,low,Continuous idle block beyond 25 min
A0028,unbelted_operation,EXC003,OP1003,S02,2025-05-06T08:26:00Z,2025-05-06T08:36:00Z,10,high,Machine operated with seatbelt unfastened
A0029,unattended_running,EXC004,OP1004,S02,2025-05-06T13:31:00Z,2025-05-06T13:46:00Z,15,high,Engine running at idle with operator out of seat
A0030,proximity_breach,WL002,OP1008,S03,2025-05-06T14:34:00Z,2025-05-06T14:36:00Z,2,critical,Person/object inside 2 m danger zone while machine moving
A0032,unbelted_operation,DZ001,OP1009,S02,2025-05-06T08:27:00Z,2025-05-06T08:45:00Z,18,high,Machine operated with seatbelt unfastened
A0033,overheating,BH001,OP1005,S01,2025-05-06T13:55:00Z,2025-05-06T14:58:00Z,63,high,Coolant temperature above safe band on hot day
A0034,harsh_operation,EXC004,OP1004,S02,2025-05-07T09:02:00Z,2025-05-07T09:46:00Z,36,medium,Abrupt control inputs; hydraulic pressure spikes
A0035,unattended_running,EXC005,OP1005,S01,2025-05-07T15:56:00Z,2025-05-07T16:26:00Z,30,high,Engine running at idle with operator out of seat
A0036,unbelted_operation,WL001,OP1007,S01,2025-05-07T14:51:00Z,2025-05-07T15:23:00Z,32,high,Machine operated with seatbelt unfastened
A0037,excessive_idling,WL002,OP1008,S03,2025-05-07T10:14:00Z,2025-05-07T11:12:00Z,58,low,Continuous idle block beyond 25 min
A0038,unattended_running,WL002,OP1008,S03,2025-05-07T15:16:00Z,2025-05-07T15:27:00Z,11,high,Engine running at idle with operator out of seat
A0039,overspeed_travel,WL002,OP1008,S03,2025-05-07T09:51:00Z,2025-05-07T09:54:00Z,3,medium,Travel speed above 10 km/h site limit
A0040,overheating,BH001,OP1011,S01,2025-05-07T14:39:00Z,2025-05-07T15:14:00Z,35,high,Coolant temperature above safe band on hot day
A0041,fuel_loss,BH002,OP1012,S02,2025-05-07T12:38:00Z,2025-05-07T12:43:00Z,5,high,Fuel level drop while engine off (leak or theft)
A0042,proximity_breach,EXC003,OP1003,S02,2025-05-08T14:50:00Z,2025-05-08T14:52:00Z,2,critical,Person/object inside 2 m danger zone while machine moving
A0043,harsh_operation,WL001,OP1007,S01,2025-05-08T15:04:00Z,2025-05-08T15:40:00Z,27,medium,Abrupt control inputs; hydraulic pressure spikes
A0044,unattended_running,DZ002,OP1010,S03,2025-05-08T11:42:00Z,2025-05-08T12:04:00Z,22,high,Engine running at idle with operator out of seat
A0045,unattended_running,EXC003,OP1003,S02,2025-05-09T09:37:00Z,2025-05-09T10:13:00Z,36,high,Engine running at idle with operator out of seat
A0046,excessive_idling,BH001,OP1011,S01,2025-05-09T13:59:00Z,2025-05-09T15:08:00Z,54,low,Continuous idle block beyond 25 min
A0047,overspeed_travel,EXC004,OP1004,S02,2025-05-10T11:37:00Z,2025-05-10T11:40:00Z,3,medium,Travel speed above 10 km/h site limit
A0048,proximity_breach,EXC005,OP1013,S01,2025-05-10T14:38:00Z,2025-05-10T14:40:00Z,2,critical,Person/object inside 2 m danger zone while machine moving
A0049,harsh_operation,EXC005,OP1013,S01,2025-05-10T13:24:00Z,2025-05-10T13:59:00Z,24,medium,Abrupt control inputs; hydraulic pressure spikes
A0050,abnormal_fuel_burn,BH001,OP1011,S01,2025-05-10T08:00:00Z,2025-05-10T17:00:00Z,495,medium,Fuel consumption 28-42% above class norm for whole shift (e.g. clogged filter)
A0051,unbelted_operation,WL001,OP1007,S01,2025-05-12T09:01:00Z,2025-05-12T09:29:00Z,28,high,Machine operated with seatbelt unfastened
A0052,harsh_operation,WL002,OP1008,S03,2025-05-12T10:38:00Z,2025-05-12T11:15:00Z,30,medium,Abrupt control inputs; hydraulic pressure spikes
A0053,excessive_idling,DZ001,OP1009,S02,2025-05-12T14:04:00Z,2025-05-12T14:46:00Z,42,low,Continuous idle block beyond 25 min
A0054,excessive_idling,DZ002,OP1010,S03,2025-05-12T11:04:00Z,2025-05-12T12:03:00Z,59,low,Continuous idle block beyond 25 min
A0055,unbelted_operation,DZ002,OP1010,S03,2025-05-12T10:14:00Z,2025-05-12T10:24:00Z,10,high,Machine operated with seatbelt unfastened
A0056,excessive_idling,EXC001,OP1001,S01,2025-05-13T10:02:00Z,2025-05-13T10:53:00Z,51,low,Continuous idle block beyond 25 min
A0057,excessive_idling,EXC002,OP1002,S01,2025-05-13T13:34:00Z,2025-05-13T14:35:00Z,46,low,Continuous idle block beyond 25 min
A0058,excessive_idling,EXC003,OP1003,S02,2025-05-13T11:34:00Z,2025-05-13T12:05:00Z,31,low,Continuous idle block beyond 25 min
