machine_id,site_id,event,point_id,start,end,duration_min,amount,unit,level_before_pct,level_after_pct,reason
EXC001,S01,refuel,S01-FB1,2025-05-01 13:37:00,2025-05-01 13:45:00,8,39.6,L,12.0,100.0,low fuel mid-shift
EXC004,S02,charge,S02-DC1,2025-05-01 11:47:00,2025-05-01 13:16:00,89,197.2,kWh,24.4,90.2,low battery mid-shift
EXC005,S01,charge,S01-DC1,2025-05-01 12:30:00,2025-05-01 13:15:00,45,27.9,kWh,32.4,76.0,opportunity charge at lunch
EXC003,S02,refuel,S02-FB1,2025-05-02 07:48:00,2025-05-02 07:56:00,8,221.2,L,35.9,100.0,pre-shift top-up
EXC004,S02,charge,S02-DC1,2025-05-01 22:00:00,2025-05-02 06:00:00,480,203.7,kWh,32.1,100.0,overnight AC charge
EXC004,S02,charge,S02-DC1,2025-05-02 12:16:00,2025-05-02 13:45:00,89,197.6,kWh,24.1,90.0,low battery mid-shift
EXC005,S01,charge,S01-DC1,2025-05-01 22:00:00,2025-05-02 06:00:00,480,41.3,kWh,35.4,100.0,overnight AC charge
EXC005,S01,charge,S01-DC1,2025-05-02 12:30:00,2025-05-02 13:15:00,45,27.6,kWh,41.8,84.9,opportunity charge at lunch
EXC006,S03,refuel,S03-FB1,2025-05-02 07:48:00,2025-05-02 07:56:00,8,249.2,L,27.8,100.0,pre-shift top-up
WL001,S01,refuel,S01-FB1,2025-05-02 07:48:00,2025-05-02 07:56:00,8,175.1,L,41.6,100.0,pre-shift top-up
WL002,S03,refuel,S03-FB1,2025-05-02 07:48:00,2025-05-02 07:56:00,8,190.6,L,36.5,100.0,pre-shift top-up
DZ002,S03,refuel,S03-FB1,2025-05-02 07:48:00,2025-05-02 07:56:00,8,282.1,L,29.5,100.0,pre-shift top-up
EXC001,S01,refuel,S01-FB1,2025-05-03 07:48:00,2025-05-03 07:56:00,8,38.6,L,14.3,100.0,pre-shift top-up
EXC002,S01,refuel,S01-FB1,2025-05-03 07:48:00,2025-05-03 07:56:00,8,256.6,L,25.6,100.0,pre-shift top-up
EXC004,S02,charge,S02-DC1,2025-05-02 22:00:00,2025-05-03 06:00:00,480,109.5,kWh,63.5,100.0,overnight AC charge
EXC004,S02,charge,S02-DC1,2025-05-03 12:23:00,2025-05-03 13:52:00,89,197.3,kWh,24.3,90.1,low battery mid-shift
EXC005,S01,charge,S01-DC1,2025-05-02 22:00:00,2025-05-03 06:00:00,480,31.6,kWh,50.6,100.0,overnight AC charge
EXC005,S01,charge,S01-DC1,2025-05-03 12:30:00,2025-05-03 13:15:00,45,27.9,kWh,29.5,73.1,opportunity charge at lunch
DZ001,S02,refuel,S02-FB1,2025-05-03 07:48:00,2025-05-03 07:56:00,8,287.5,L,28.1,100.0,pre-shift top-up
BH001,S01,refuel,S01-FB1,2025-05-03 07:48:00,2025-05-03 07:56:00,8,109.4,L,31.6,100.0,pre-shift top-up
BH002,S02,refuel,S02-FB1,2025-05-03 07:48:00,2025-05-03 07:56:00,8,108.2,L,32.4,100.0,pre-shift top-up
EXC004,S02,charge,S02-DC1,2025-05-04 22:00:00,2025-05-05 06:00:00,480,120.4,kWh,59.9,100.0,overnight AC charge
EXC004,S02,charge,S02-DC1,2025-05-05 12:08:00,2025-05-05 13:37:00,89,197.5,kWh,24.2,90.0,low battery mid-shift
EXC005,S01,charge,S01-DC1,2025-05-04 22:00:00,2025-05-05 06:00:00,480,25.5,kWh,60.1,100.0,overnight AC charge
EXC005,S01,charge,S01-DC1,2025-05-05 12:30:00,2025-05-05 13:15:00,45,27.9,kWh,25.3,68.9,opportunity charge at lunch
EXC006,S03,refuel,S03-FB1,2025-05-05 07:48:00,2025-05-05 07:56:00,8,199.4,L,42.2,100.0,pre-shift top-up
WL001,S01,refuel,S01-FB1,2025-05-05 07:48:00,2025-05-05 07:56:00,8,176.6,L,41.1,100.0,pre-shift top-up
WL002,S03,refuel,S03-FB1,2025-05-05 07:48:00,2025-05-05 07:56:00,8,184.9,L,38.4,100.0,pre-shift top-up
DZ002,S03,refuel,S03-FB1,2025-05-05 07:48:00,2025-05-05 07:56:00,8,245.8,L,38.6,100.0,pre-shift top-up
EXC001,S01,refuel,S01-FB1,2025-05-06 07:48:00,2025-05-06 07:56:00,8,34.3,L,23.9,100.0,pre-shift top-up
EXC002,S01,refuel,S01-FB1,2025-05-06 07:48:00,2025-05-06 07:56:00,8,197.7,L,42.7,100.0,pre-shift top-up
EXC003,S02,refuel,S02-FB1,2025-05-06 07:48:00,2025-05-06 07:56:00,8,285.2,L,17.3,100.0,pre-shift top-up
EXC004,S02,charge,S02-DC1,2025-05-05 22:00:00,2025-05-06 06:00:00,480,200.3,kWh,33.2,100.0,overnight AC charge
EXC004,S02,charge,S02-DC1,2025-05-06 11:46:00,2025-05-06 13:15:00,89,197.5,kWh,24.2,90.1,low battery mid-shift
EXC005,S01,charge,S01-DC1,2025-05-05 22:00:00,2025-05-06 06:00:00,480,13.0,kWh,79.6,100.0,overnight AC charge
EXC005,S01,charge,S01-DC1,2025-05-06 12:30:00,2025-05-06 13:15:00,45,27.9,kWh,24.8,68.4,opportunity charge at lunch
EXC005,S01,charge,S01-DC1,2025-05-06 13:17:00,2025-05-06 13:43:00,26,14.1,kWh,68.1,90.1,low battery mid-shift
DZ001,S02,refuel,S02-FB1,2025-05-06 07:48:00,2025-05-06 07:56:00,8,225.1,L,43.7,100.0,pre-shift top-up
BH001,S01,refuel,S01-FB1,2025-05-06 07:48:00,2025-05-06 07:56:00,8,88.4,L,44.8,100.0,pre-shift top-up
BH002,S02,refuel,S02-FB1,2025-05-06 07:48:00,2025-05-06 07:56:00,8,89.6,L,44.0,100.0,pre-shift top-up
EXC001,S01,refuel,S01-FB1,2025-05-07 07:48:00,2025-05-07 07:56:00,8,34.1,L,24.3,100.0,pre-shift top-up
EXC004,S02,charge,S02-DC1,2025-05-06 22:00:00,2025-05-07 06:00:00,480,227.3,kWh,24.2,100.0,overnight AC charge
EXC004,S02,charge,S02-DC1,2025-05-07 12:12:00,2025-05-07 13:42:00,90,198.9,kWh,24.1,90.4,low battery mid-shift
EXC005,S01,charge,S01-DC1,2025-05-06 22:00:00,2025-05-07 06:00:00,480,40.9,kWh,36.0,100.0,overnight AC charge
EXC005,S01,charge,S01-DC1,2025-05-07 12:30:00,2025-05-07 13:15:00,45,27.9,kWh,27.4,71.0,opportunity charge at lunch
WL002,S03,refuel,S03-FB1,2025-05-07 07:48:00,2025-05-07 07:56:00,8,194.0,L,35.3,100.0,pre-shift top-up
DZ002,S03,refuel,S03-FB1,2025-05-07 07:48:00,2025-05-07 07:56:00,8,274.4,L,31.4,100.0,pre-shift top-up
EXC001,S01,refuel,S01-FB1,2025-05-08 07:48:00,2025-05-08 07:56:00,8,34.9,L,22.4,100.0,pre-shift top-up
EXC003,S02,refuel,S02-FB1,2025-05-08 07:48:00,2025-05-08 07:56:00,8,194.3,L,43.7,100.0,pre-shift top-up
EXC004,S02,charge,S02-DC1,2025-05-07 22:00:00,2025-05-08 06:00:00,480,191.3,kWh,36.2,100.0,overnight AC charge
EXC004,S02,charge,S02-DC1,2025-05-08 12:26:00,2025-05-08 13:56:00,90,198.9,kWh,24.1,90.4,low battery mid-shift
EXC005,S01,charge,S01-DC1,2025-05-07 22:00:00,2025-05-08 06:00:00,480,36.1,kWh,43.6,100.0,overnight AC charge
EXC005,S01,charge,S01-DC1,2025-05-08 12:30:00,2025-05-08 13:15:00,45,27.8,kWh,39.5,83.0,opportunity charge at lunch
EXC006,S03,refuel,S03-FB1,2025-05-08 07:48:00,2025-05-08 07:56:00,8,197.8,L,42.7,100.0,pre-shift top-up
WL001,S01,refuel,S01-FB1,2025-05-08 07:48:00,2025-05-08 07:56:00,8,253.0,L,15.7,100.0,pre-shift top-up
DZ001,S02,refuel,S02-FB1,2025-05-08 16:14:00,2025-05-08 16:22:00,8,352.3,L,11.9,100.0,low fuel mid-shift
BH002,S02,refuel,S02-FB1,2025-05-08 07:48:00,2025-05-08 07:56:00,8,136.4,L,14.8,100.0,pre-shift top-up
EXC001,S01,refuel,S01-FB1,2025-05-09 07:48:00,2025-05-09 07:56:00,8,28.1,L,37.5,100.0,pre-shift top-up
EXC004,S02,charge,S02-DC1,2025-05-08 22:00:00,2025-05-09 06:00:00,480,167.1,kWh,44.3,100.0,overnight AC charge
EXC004,S02,charge,S02-DC1,2025-05-09 12:20:00,2025-05-09 13:49:00,89,197.5,kWh,24.2,90.0,low battery mid-shift
EXC005,S01,charge,S01-DC1,2025-05-08 22:00:00,2025-05-09 06:00:00,480,43.1,kWh,32.6,100.0,overnight AC charge
EXC005,S01,charge,S01-DC1,2025-05-09 12:30:00,2025-05-09 13:15:00,45,27.9,kWh,36.6,80.1,opportunity charge at lunch
WL002,S03,refuel,S03-FB1,2025-05-09 07:48:00,2025-05-09 07:56:00,8,181.9,L,39.4,100.0,pre-shift top-up
DZ002,S03,refuel,S03-FB1,2025-05-09 07:48:00,2025-05-09 07:56:00,8,244.2,L,39.0,100.0,pre-shift top-up
BH001,S01,refuel,S01-FB1,2025-05-09 07:48:00,2025-05-09 07:56:00,8,97.3,L,39.2,100.0,pre-shift top-up
EXC001,S01,refuel,S01-FB1,2025-05-10 07:48:00,2025-05-10 07:56:00,8,31.6,L,29.7,100.0,pre-shift top-up
EXC002,S01,refuel,S01-FB1,2025-05-10 07:48:00,2025-05-10 07:56:00,8,237.9,L,31.0,100.0,pre-shift top-up
EXC003,S02,refuel,S02-FB1,2025-05-10 07:48:00,2025-05-10 07:56:00,8,200.6,L,41.9,100.0,pre-shift top-up
EXC004,S02,charge,S02-DC1,2025-05-09 22:00:00,2025-05-10 06:00:00,480,209.9,kWh,30.0,100.0,overnight AC charge
EXC004,S02,charge,S02-DC1,2025-05-10 11:40:00,2025-05-10 13:09:00,89,197.1,kWh,24.5,90.2,low battery mid-shift
EXC005,S01,charge,S01-DC1,2025-05-09 22:00:00,2025-05-10 06:00:00,480,48.2,kWh,24.7,100.0,overnight AC charge
EXC005,S01,charge,S01-DC1,2025-05-10 12:30:00,2025-05-10 13:15:00,45,27.9,kWh,27.9,71.5,opportunity charge at lunch
WL001,S01,refuel,S01-FB1,2025-05-10 07:48:00,2025-05-10 07:56:00,8,172.7,L,42.4,100.0,pre-shift top-up
BH002,S02,refuel,S02-FB1,2025-05-10 07:48:00,2025-05-10 07:56:00,8,104.5,L,34.7,100.0,pre-shift top-up
EXC001,S01,refuel,S01-FB1,2025-05-12 07:48:00,2025-05-12 07:56:00,8,33.1,L,26.5,100.0,pre-shift top-up
EXC004,S02,charge,S02-DC1,2025-05-11 22:00:00,2025-05-12 06:00:00,480,190.1,kWh,36.6,100.0,overnight AC charge
EXC004,S02,charge,S02-DC1,2025-05-12 12:30:00,2025-05-12 13:59:00,89,197.3,kWh,24.4,90.1,low battery mid-shift
EXC005,S01,charge,S01-DC1,2025-05-11 22:00:00,2025-05-12 06:00:00,480,41.3,kWh,35.4,100.0,overnight AC charge
EXC005,S01,charge,S01-DC1,2025-05-12 12:30:00,2025-05-12 13:15:00,45,27.9,kWh,37.3,80.9,opportunity charge at lunch
EXC006,S03,refuel,S03-FB1,2025-05-12 07:48:00,2025-05-12 07:56:00,8,269.9,L,21.8,100.0,pre-shift top-up
WL002,S03,refuel,S03-FB1,2025-05-12 07:48:00,2025-05-12 07:56:00,8,166.7,L,44.4,100.0,pre-shift top-up
DZ001,S02,refuel,S02-FB1,2025-05-12 07:48:00,2025-05-12 07:56:00,8,303.5,L,24.1,100.0,pre-shift top-up
DZ002,S03,refuel,S03-FB1,2025-05-12 07:48:00,2025-05-12 07:56:00,8,284.4,L,28.9,100.0,pre-shift top-up
BH001,S01,refuel,S01-FB1,2025-05-12 07:48:00,2025-05-12 07:56:00,8,113.7,L,28.9,100.0,pre-shift top-up
EXC001,S01,refuel,S01-FB1,2025-05-13 07:48:00,2025-05-13 07:56:00,8,31.8,L,29.3,100.0,pre-shift top-up
EXC003,S02,refuel,S02-FB1,2025-05-13 07:48:00,2025-05-13 07:56:00,8,200.9,L,41.8,100.0,pre-shift top-up
EXC004,S02,charge,S02-DC1,2025-05-12 22:00:00,2025-05-13 06:00:00,480,178.1,kWh,40.6,100.0,overnight AC charge
EXC004,S02,charge,S02-DC1,2025-05-13 12:30:00,2025-05-13 13:15:00,45,104.6,kWh,30.6,65.5,opportunity charge at lunch
EXC005,S01,charge,S01-DC1,2025-05-12 22:00:00,2025-05-13 06:00:00,480,38.1,kWh,40.4,100.0,overnight AC charge
EXC005,S01,charge,S01-DC1,2025-05-13 12:30:00,2025-05-13 13:15:00,45,27.9,kWh,35.8,79.4,opportunity charge at lunch
WL001,S01,refuel,S01-FB1,2025-05-13 07:48:00,2025-05-13 07:56:00,8,194.9,L,35.0,100.0,pre-shift top-up
EXC001,S01,refuel,S01-FB1,2025-05-14 07:48:00,2025-05-14 07:56:00,8,29.0,L,35.6,100.0,pre-shift top-up
EXC002,S01,refuel,S01-FB1,2025-05-14 07:48:00,2025-05-14 07:56:00,8,262.7,L,23.8,100.0,pre-shift top-up
EXC004,S02,charge,S02-DC1,2025-05-13 22:00:00,2025-05-14 06:00:00,480,30.8,kWh,89.7,100.0,overnight AC charge
EXC004,S02,charge,S02-DC1,2025-05-14 12:14:00,2025-05-14 13:43:00,89,197.3,kWh,24.4,90.2,low battery mid-shift
EXC005,S01,charge,S01-DC1,2025-05-13 22:00:00,2025-05-14 06:00:00,480,48.3,kWh,24.6,100.0,overnight AC charge
EXC005,S01,charge,S01-DC1,2025-05-14 12:30:00,2025-05-14 13:15:00,45,27.9,kWh,34.1,77.6,opportunity charge at lunch
EXC006,S03,refuel,S03-FB1,2025-05-14 07:48:00,2025-05-14 07:56:00,8,211.1,L,38.8,100.0,pre-shift top-up
WL002,S03,refuel,S03-FB1,2025-05-14 07:48:00,2025-05-14 07:56:00,8,188.4,L,37.2,100.0,pre-shift top-up
DZ002,S03,refuel,S03-FB1,2025-05-14 07:48:00,2025-05-14 07:56:00,8,270.8,L,32.3,100.0,pre-shift top-up
BH001,S01,refuel,S01-FB1,2025-05-14 07:48:00,2025-05-14 07:56:00,8,99.2,L,38.0,100.0,pre-shift top-up
BH002,S02,refuel,S02-FB1,2025-05-14 07:48:00,2025-05-14 07:56:00,8,126.0,L,21.2,100.0,pre-shift top-up
EXC001,S01,refuel,S01-FB1,2025-05-15 07:48:00,2025-05-15 07:56:00,8,34.9,L,22.4,100.0,pre-shift top-up
EXC004,S02,charge,S02-DC1,2025-05-14 22:00:00,2025-05-15 06:00:00,480,193.1,kWh,35.6,100.0,overnight AC charge
EXC004,S02,charge,S02-DC1,2025-05-15 12:08:00,2025-05-15 13:38:00,90,199.0,kWh,24.1,90.4,low battery mid-shift
EXC005,S01,charge,S01-DC1,2025-05-14 22:00:00,2025-05-15 06:00:00,480,39.7,kWh,37.9,100.0,overnight AC charge
EXC005,S01,charge,S01-DC1,2025-05-15 12:30:00,2025-05-15 13:15:00,45,27.9,kWh,30.7,74.3,opportunity charge at lunch
DZ001,S02,refuel,S02-FB1,2025-05-15 07:48:00,2025-05-15 07:56:00,8,262.9,L,34.3,100.0,pre-shift top-up
EXC001,S01,refuel,S01-FB1,2025-05-16 07:48:00,2025-05-16 07:56:00,8,30.0,L,33.4,100.0,pre-shift top-up
EXC003,S02,refuel,S02-FB1,2025-05-16 07:48:00,2025-05-16 07:56:00,8,272.8,L,20.9,100.0,pre-shift top-up
EXC004,S02,charge,S02-DC1,2025-05-15 22:00:00,2025-05-16 06:00:00,480,208.5,kWh,30.5,100.0,overnight AC charge
EXC004,S02,charge,S02-DC1,2025-05-16 12:00:00,2025-05-16 13:29:00,89,197.4,kWh,24.3,90.1,low battery mid-shift
EXC005,S01,charge,S01-DC1,2025-05-15 22:00:00,2025-05-16 06:00:00,480,41.7,kWh,34.9,100.0,overnight AC charge
EXC005,S01,charge,S01-DC1,2025-05-16 12:30:00,2025-05-16 13:15:00,45,27.9,kWh,29.0,72.6,opportunity charge at lunch
WL002,S03,refuel,S03-FB1,2025-05-16 07:48:00,2025-05-16 07:56:00,8,228.9,L,23.7,100.0,pre-shift top-up
DZ002,S03,refuel,S03-FB1,2025-05-16 07:48:00,2025-05-16 07:56:00,8,268.3,L,32.9,100.0,pre-shift top-up
BH001,S01,refuel,S01-FB1,2025-05-16 07:48:00,2025-05-16 07:56:00,8,88.5,L,44.7,100.0,pre-shift top-up
BH002,S02,refuel,S02-FB1,2025-05-16 07:48:00,2025-05-16 07:56:00,8,104.9,L,34.4,100.0,pre-shift top-up
EXC001,S01,refuel,S01-FB1,2025-05-17 07:48:00,2025-05-17 07:56:00,8,32.9,L,27.0,100.0,pre-shift top-up
EXC002,S01,refuel,S01-FB1,2025-05-17 07:48:00,2025-05-17 07:56:00,8,257.5,L,25.4,100.0,pre-shift top-up
EXC004,S02,charge,S02-DC1,2025-05-16 22:00:00,2025-05-17 06:00:00,480,187.1,kWh,37.6,100.0,overnight AC charge
EXC004,S02,charge,S02-DC1,2025-05-17 11:46:00,2025-05-17 13:15:00,89,197.3,kWh,24.4,90.1,low battery mid-shift
EXC005,S01,charge,S01-DC1,2025-05-16 22:00:00,2025-05-17 06:00:00,480,19.9,kWh,68.9,100.0,overnight AC charge
EXC005,S01,charge,S01-DC1,2025-05-17 12:30:00,2025-05-17 13:15:00,45,27.9,kWh,32.8,76.4,opportunity charge at lunch
