alert_id,machine_id,operator_id,site_id,alert_code,severity,start,end,duration_min
AL00001,EXC006,OP1006,S03,excessive_idle,low,2025-05-01T08:00:00Z,2025-05-01T08:21:00Z,21
AL00002,BH001,OP1011,S01,excessive_idle,low,2025-05-01T10:26:00Z,2025-05-01T11:18:00Z,52
AL00003,EXC002,OP1002,S01,harsh_operation,medium,2025-05-01T11:13:00Z,2025-05-01T11:17:00Z,4
AL00004,WL001,OP1007,S01,coolant_high,high,2025-05-01T14:54:00Z,2025-05-01T15:39:00Z,45
AL00005,BH001,OP1011,S01,coolant_high,high,2025-05-01T14:59:00Z,2025-05-01T15:40:00Z,41
AL00006,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-01T15:32:00Z,2025-05-01T15:49:00Z,17
AL00007,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-01T15:53:00Z,2025-05-01T16:02:00Z,9
AL00008,EXC005,OP1005,S01,unattended_running,high,2025-05-02T09:03:00Z,2025-05-02T09:43:00Z,40
AL00009,EXC005,OP1005,S01,excessive_idle,low,2025-05-02T09:03:00Z,2025-05-02T09:43:00Z,40
AL00010,DZ001,OP1009,S02,excessive_idle,low,2025-05-02T09:38:00Z,2025-05-02T10:10:00Z,32
AL00011,EXC006,OP1015,S03,unattended_running,high,2025-05-02T09:58:00Z,2025-05-02T10:26:00Z,28
AL00012,EXC006,OP1015,S03,excessive_idle,low,2025-05-02T09:58:00Z,2025-05-02T10:29:00Z,31
AL00013,DZ002,OP1010,S03,harsh_operation,medium,2025-05-02T11:18:00Z,2025-05-02T11:21:00Z,3
AL00014,DZ002,OP1010,S03,harsh_operation,medium,2025-05-02T11:26:00Z,2025-05-02T11:29:00Z,3
AL00015,DZ002,OP1010,S03,harsh_operation,medium,2025-05-02T11:38:00Z,2025-05-02T11:42:00Z,4
AL00016,DZ002,OP1010,S03,harsh_operation,medium,2025-05-02T11:43:00Z,2025-05-02T11:46:00Z,3
AL00017,BH001,OP1011,S01,excessive_idle,low,2025-05-02T14:06:00Z,2025-05-02T14:58:00Z,52
AL00018,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-02T15:52:00Z,2025-05-02T16:11:00Z,19
AL00019,WL002,OP1008,S03,excessive_idle,low,2025-05-03T08:25:00Z,2025-05-03T08:45:00Z,20
AL00020,EXC004,OP1004,S02,harsh_operation,medium,2025-05-03T09:52:00Z,2025-05-03T09:55:00Z,3
AL00021,EXC005,OP1005,S01,overspeed,medium,2025-05-03T10:23:00Z,2025-05-03T10:24:00Z,1
AL00022,BH002,OP1012,S02,excessive_idle,low,2025-05-03T13:25:00Z,2025-05-03T13:53:00Z,28
AL00023,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-03T15:51:00Z,2025-05-03T15:53:00Z,2
AL00024,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-03T15:55:00Z,2025-05-03T16:00:00Z,5
AL00025,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-03T16:03:00Z,2025-05-03T16:12:00Z,9
AL00026,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-05T08:47:00Z,2025-05-05T08:54:00Z,7
AL00027,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-05T08:56:00Z,2025-05-05T09:02:00Z,6
AL00028,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-05T09:07:00Z,2025-05-05T09:19:00Z,12
AL00029,EXC004,OP1004,S02,harsh_operation,medium,2025-05-05T11:35:00Z,2025-05-05T11:38:00Z,3
AL00030,EXC004,OP1004,S02,harsh_operation,medium,2025-05-05T11:41:00Z,2025-05-05T11:45:00Z,4
AL00031,BH001,OP1011,S01,excessive_idle,low,2025-05-05T13:53:00Z,2025-05-05T14:30:00Z,37
AL00032,WL001,OP1007,S01,unattended_running,high,2025-05-05T13:54:00Z,2025-05-05T14:17:00Z,23
AL00033,WL001,OP1007,S01,excessive_idle,low,2025-05-05T13:54:00Z,2025-05-05T14:17:00Z,23
AL00034,WL002,OP1008,S03,unattended_running,high,2025-05-05T14:00:00Z,2025-05-05T14:16:00Z,16
AL00035,EXC003,OP1003,S02,seatbelt_unfastened_moving,critical,2025-05-06T08:26:00Z,2025-05-06T08:36:00Z,10
AL00036,DZ001,OP1009,S02,seatbelt_unfastened_moving,critical,2025-05-06T08:27:00Z,2025-05-06T08:29:00Z,2
AL00037,DZ001,OP1009,S02,seatbelt_unfastened_moving,critical,2025-05-06T08:33:00Z,2025-05-06T08:34:00Z,1
AL00038,DZ001,OP1009,S02,seatbelt_unfastened_moving,critical,2025-05-06T08:36:00Z,2025-05-06T08:45:00Z,9
AL00039,WL002,OP1008,S03,excessive_idle,low,2025-05-06T09:57:00Z,2025-05-06T10:18:00Z,21
AL00040,EXC003,OP1003,S02,excessive_idle,low,2025-05-06T10:21:00Z,2025-05-06T11:00:00Z,39
AL00041,EXC004,OP1004,S02,unattended_running,high,2025-05-06T13:31:00Z,2025-05-06T13:46:00Z,15
AL00042,DZ001,OP1009,S02,excessive_idle,low,2025-05-06T13:34:00Z,2025-05-06T13:56:00Z,22
AL00043,WL001,OP1007,S01,excessive_idle,low,2025-05-06T14:00:00Z,2025-05-06T14:20:00Z,20
AL00044,BH001,OP1005,S01,coolant_high,high,2025-05-06T14:05:00Z,2025-05-06T15:07:00Z,62
AL00045,WL002,OP1008,S03,proximity_danger,critical,2025-05-06T14:34:00Z,2025-05-06T14:36:00Z,2
AL00046,EXC001,OP1001,S01,coolant_high,high,2025-05-06T15:11:00Z,2025-05-06T16:08:00Z,57
AL00047,WL002,OP1008,S03,overspeed,medium,2025-05-07T09:51:00Z,2025-05-07T09:54:00Z,3
AL00048,WL002,OP1008,S03,excessive_idle,low,2025-05-07T10:14:00Z,2025-05-07T11:12:00Z,58
AL00049,BH001,OP1011,S01,coolant_high,high,2025-05-07T14:50:00Z,2025-05-07T15:19:00Z,29
AL00050,WL001,OP1007,S01,seatbelt_unfastened_moving,critical,2025-05-07T14:51:00Z,2025-05-07T15:18:00Z,27
AL00051,WL002,OP1008,S03,unattended_running,high,2025-05-07T15:16:00Z,2025-05-07T15:27:00Z,11
AL00052,EXC005,OP1005,S01,unattended_running,high,2025-05-07T15:56:00Z,2025-05-07T16:26:00Z,30
AL00053,EXC005,OP1005,S01,excessive_idle,low,2025-05-07T15:56:00Z,2025-05-07T16:26:00Z,30
AL00054,DZ002,OP1010,S03,excessive_idle,low,2025-05-08T11:42:00Z,2025-05-08T12:04:00Z,22
AL00055,DZ002,OP1010,S03,unattended_running,high,2025-05-08T11:42:00Z,2025-05-08T12:04:00Z,22
AL00056,EXC003,OP1003,S02,proximity_danger,critical,2025-05-08T14:50:00Z,2025-05-08T14:52:00Z,2
AL00057,WL001,OP1007,S01,harsh_operation,medium,2025-05-08T15:29:00Z,2025-05-08T15:32:00Z,3
AL00058,EXC006,OP1006,S03,excessive_idle,low,2025-05-09T08:11:00Z,2025-05-09T08:33:00Z,22
AL00059,EXC003,OP1003,S02,excessive_idle,low,2025-05-09T09:35:00Z,2025-05-09T10:13:00Z,38
AL00060,EXC003,OP1003,S02,unattended_running,high,2025-05-09T09:37:00Z,2025-05-09T10:13:00Z,36
AL00061,BH001,OP1011,S01,excessive_idle,low,2025-05-09T14:15:00Z,2025-05-09T15:08:00Z,53
