task_id,date,site_id,machine_id,machine_class,operator_id,task_type,unit,quantity,ground_condition,rain_prev_24h_mm,planned_start,planned_duration_min,actual_start,actual_end,actual_duration_min,productive_min,completed_quantity,status,avg_temp_c,rain_during_task_mm,assigned_by
T00001,2025-05-01,S01,EXC001,mini_excavator,OP1001,trenching,m3,25,dry,0.0,2025-05-01 08:08:00,150,2025-05-01 08:06:00,2025-05-01 11:14:00,188.0,144,25.0,completed,33.8,0.0,ADMIN01
T00002,2025-05-01,S01,EXC001,mini_excavator,OP1001,excavation,m3,40,dry,0.0,2025-05-01 11:33:00,192,2025-05-01 11:24:00,2025-05-01 15:46:00,262.0,179,40.0,completed,37.1,0.0,ADMIN01
T00003,2025-05-01,S01,EXC002,excavator,OP1002,truck_loading,m3,140,dry,0.0,2025-05-01 08:08:00,112,2025-05-01 08:08:00,2025-05-01 09:55:00,107.0,90,140.0,completed,33.1,0.0,ADMIN01
T00004,2025-05-01,S01,EXC002,excavator,OP1002,truck_loading,m3,170,dry,0.0,2025-05-01 10:10:00,136,2025-05-01 10:04:00,2025-05-01 13:25:00,201.0,105,170.0,completed,35.7,0.0,ADMIN01
T00005,2025-05-01,S01,EXC002,excavator,OP1002,truck_loading,m3,220,dry,0.0,2025-05-01 12:36:00,176,2025-05-01 13:33:00,,,125,175.8,partial,37.5,0.0,ADMIN01
T00006,2025-05-01,S02,EXC003,excavator,OP1012,trenching,m3,115,dry,0.0,2025-05-01 08:08:00,184,2025-05-01 08:05:00,2025-05-01 10:55:00,170.0,150,115.0,completed,29.3,0.0,ADMIN01
T00007,2025-05-01,S02,EXC003,excavator,OP1012,truck_loading,m3,260,dry,0.0,2025-05-01 12:07:00,208,2025-05-01 11:06:00,2025-05-01 15:30:00,264.0,157,260.0,completed,32.9,0.0,ADMIN01
T00008,2025-05-01,S02,EXC004,electric_excavator,OP1004,excavation,m3,165,dry,0.0,2025-05-01 08:08:00,170,2025-05-01 08:07:00,2025-05-01 11:04:00,177.0,158,165.0,completed,29.4,0.0,ADMIN01
T00009,2025-05-01,S02,EXC004,electric_excavator,OP1004,trenching,m3,85,dry,0.0,2025-05-01 11:53:00,136,2025-05-01 11:12:00,2025-05-01 15:38:00,266.0,136,85.0,completed,33.2,0.0,ADMIN01
T00010,2025-05-01,S02,EXC004,electric_excavator,OP1004,trenching,m3,110,dry,0.0,2025-05-01 14:19:00,176,2025-05-01 15:49:00,,,54,31.6,partial,33.4,0.0,ADMIN01
T00011,2025-05-01,S01,EXC005,electric_mini_excavator,OP1013,excavation,m3,35,dry,0.0,2025-05-01 08:08:00,168,2025-05-01 08:07:00,2025-05-01 11:11:00,184.0,149,35.0,completed,33.8,0.0,ADMIN01
T00012,2025-05-01,S01,EXC005,electric_mini_excavator,OP1013,trenching,m3,25,dry,0.0,2025-05-01 11:51:00,150,2025-05-01 11:17:00,2025-05-01 14:11:00,174.0,108,25.0,completed,36.7,0.0,ADMIN01
T00013,2025-05-01,S01,EXC005,electric_mini_excavator,OP1013,trenching,m3,15,dry,0.0,2025-05-01 14:31:00,90,2025-05-01 14:17:00,2025-05-01 15:38:00,81.0,77,15.0,completed,37.6,0.0,ADMIN01
T00014,2025-05-01,S03,EXC006,excavator,OP1006,excavation,m3,130,rocky,0.0,2025-05-01 08:08:00,134,2025-05-01 08:08:00,2025-05-01 10:40:00,152.0,116,130.0,completed,26.6,0.7,ADMIN01
T00015,2025-05-01,S03,EXC006,excavator,OP1006,truck_loading,m3,215,rocky,0.0,2025-05-01 11:17:00,172,2025-05-01 10:49:00,2025-05-01 14:20:00,211.0,127,215.0,completed,32.3,0.0,ADMIN01
T00016,2025-05-01,S03,EXC006,excavator,OP1006,truck_loading,m3,290,rocky,0.0,2025-05-01 14:19:00,232,2025-05-01 14:29:00,,,111,163.8,partial,33.6,0.0,ADMIN01
T00017,2025-05-01,S01,WL001,wheel_loader,OP1007,stockpiling,m3,305,dry,0.0,2025-05-01 08:08:00,146,2025-05-01 08:05:00,2025-05-01 11:52:00,227.0,145,305.0,completed,34.2,0.0,ADMIN01
T00018,2025-05-01,S01,WL001,wheel_loader,OP1007,truck_loading,m3,235,dry,0.0,2025-05-01 11:29:00,141,2025-05-01 11:56:00,2025-05-01 15:54:00,238.0,137,235.0,completed,37.4,0.0,ADMIN01
T00019,2025-05-01,S01,WL001,wheel_loader,OP1007,truck_loading,m3,275,dry,0.0,2025-05-01 14:00:00,165,2025-05-01 16:06:00,,,36,55.7,partial,37.3,0.0,ADMIN01
T00020,2025-05-01,S03,WL002,wheel_loader,OP1008,truck_loading,m3,165,rocky,0.0,2025-05-01 08:08:00,99,2025-05-01 08:06:00,2025-05-01 10:21:00,135.0,102,165.0,completed,26.1,0.7,ADMIN01
