site_id,timestamp,temp_c,humidity_pct,wind_kmh,rain_mm_hr
S01,2025-05-01T00:00:00Z,29.2,94,10.6,0.0
S01,2025-05-01T01:00:00Z,29.2,92,11.2,0.0
S01,2025-05-01T02:00:00Z,29.2,100,9.4,0.0
S01,2025-05-01T03:00:00Z,29.2,99,7.0,0.0
S01,2025-05-01T04:00:00Z,29.2,94,12.5,0.0
S01,2025-05-01T05:00:00Z,29.2,97,14.1,0.0
S01,2025-05-01T06:00:00Z,30.0,94,11.0,0.0
S01,2025-05-01T07:00:00Z,31.2,84,14.6,0.0
S01,2025-05-01T08:00:00Z,32.4,79,8.2,0.0
S01,2025-05-01T09:00:00Z,33.7,69,9.2,0.0
S01,2025-05-01T10:00:00Z,34.8,70,12.4,0.0
S01,2025-05-01T11:00:00Z,35.9,66,10.7,0.0
S01,2025-05-01T12:00:00Z,36.7,60,13.9,0.0
S01,2025-05-01T13:00:00Z,37.3,55,13.4,0.0
S01,2025-05-01T14:00:00Z,37.6,53,10.9,0.0
S01,2025-05-01T15:00:00Z,37.6,54,8.4,0.0
S01,2025-05-01T16:00:00Z,37.3,59,10.6,0.0
S01,2025-05-01T17:00:00Z,36.7,59,13.4,0.0
S01,2025-05-01T18:00:00Z,35.9,65,14.0,0.0
S01,2025-05-01T19:00:00Z,34.8,68,10.7,0.0
S01,2025-05-01T20:00:00Z,33.7,73,6.9,0.0
S01,2025-05-01T21:00:00Z,32.4,74,8.0,0.0
S01,2025-05-01T22:00:00Z,31.2,82,13.2,0.0
S01,2025-05-01T23:00:00Z,30.0,88,10.9,0.0
S01,2025-05-02T00:00:00Z,28.7,94,9.1,0.0
S01,2025-05-02T01:00:00Z,28.7,94,14.5,0.0
S01,2025-05-02T02:00:00Z,28.7,88,13.3,0.0
S01,2025-05-02T03:00:00Z,28.7,96,10.2,0.0
S01,2025-05-02T04:00:00Z,28.7,89,12.2,0.0
S01,2025-05-02T05:00:00Z,28.7,93,12.7,0.0
S01,2025-05-02T06:00:00Z,29.7,91,16.8,0.0
S01,2025-05-02T07:00:00Z,31.2,85,8.9,0.0
S01,2025-05-02T08:00:00Z,32.8,80,12.7,0.0
S01,2025-05-02T09:00:00Z,34.3,79,14.5,0.0
S01,2025-05-02T10:00:00Z,35.8,70,16.4,0.0
S01,2025-05-02T11:00:00Z,37.1,58,10.1,0.0
S01,2025-05-02T12:00:00Z,38.2,56,10.8,0.0
S01,2025-05-02T13:00:00Z,38.9,51,13.9,0.0
S01,2025-05-02T14:00:00Z,39.3,54,7.6,0.0
S01,2025-05-02T15:00:00Z,39.3,51,12.9,0.0
S01,2025-05-02T16:00:00Z,38.9,60,18.0,0.0
S01,2025-05-02T17:00:00Z,38.2,71,13.2,0.0
S01,2025-05-02T18:00:00Z,37.1,59,5.6,0.0
S01,2025-05-02T19:00:00Z,35.8,69,9.6,0.0
S01,2025-05-02T20:00:00Z,34.3,72,10.2,0.0
S01,2025-05-02T21:00:00Z,32.8,79,15.2,0.0
S01,2025-05-02T22:00:00Z,31.2,86,11.5,0.0
S01,2025-05-02T23:00:00Z,29.7,87,7.0,0.0
S01,2025-05-03T00:00:00Z,29.0,99,10.5,0.0
S01,2025-05-03T01:00:00Z,29.0,90,9.1,0.0
S01,2025-05-03T02:00:00Z,29.0,92,18.4,0.0
S01,2025-05-03T03:00:00Z,29.0,92,14.5,0.0
S01,2025-05-03T04:00:00Z,29.0,91,14.8,0.0
S01,2025-05-03T05:00:00Z,29.0,97,11.5,0.0
S01,2025-05-03T06:00:00Z,29.7,91,10.0,0.0
S01,2025-05-03T07:00:00Z,30.8,88,10.6,0.0
S01,2025-05-03T08:00:00Z,32.0,75,8.2,0.0
S01,2025-05-03T09:00:00Z,33.1,74,16.7,0.0
S01,2025-05-03T10:00:00Z,34.2,69,11.6,0.0
S01,2025-05-03T11:00:00Z,35.2,64,15.9,0.0
